environment,worker,episode,step,agent,state,reward,goal_distance,travel_time,action_x,action_y,closest_obstacle_distance
random_hard,0,100,13,agent_1,active,-5.368951586657051,2.23606797749979,13,0,0,2.897944899327325
random_hard,0,100,14,agent_1,active,-5.8907279243665265,1.4142135623730951,14,0,0,2.897944899327325
random_hard,0,100,15,agent_1,terminated,47.071067811865476,0.0,15,0,0,3.0210505249449855
warehouse_easy,0,500,1,agent_1,active,-3.393004272404845,15.231546211727817,1,0,0,3.5
warehouse_easy,0,500,2,agent_1,active,-5.4313742577426805,14.317821063276353,2,0,0,3.5
warehouse_easy,0,500,3,agent_1,active,-3.410894683618233,13.0,3,0,0,2.5
warehouse_easy,0,500,4,agent_1,active,-5.415229867972862,12.083045973594572,4,0,0,2.662277660168384
warehouse_easy,0,500,5,agent_1,active,-5.4864695695218835,11.180339887498949,5,0,0,3.105551275463997
warehouse_easy,0,500,6,agent_1,active,-3.3425895714857745,9.848857801796104,6,0,0,3.105551275464001
warehouse_easy,0,500,7,agent_1,active,-5.4770705410152765,8.94427190999916,7,0,0,3.387301263230196
warehouse_easy,0,500,8,agent_1,active,-5.58992919149695,8.06225774829855,8,0,0,2.573181485764292
warehouse_easy,0,500,9,agent_1,active,-5.744224013147146,7.211102550927978,9,0,0,1.9037008503093236
warehouse_easy,0,500,10,agent_1,active,-5.960108432524351,6.4031242374328485,10,0,0,1.5275875100994059
warehouse_easy,0,500,11,agent_1,active,-6.26865006029766,5.656854249492381,11,0,0,1.5
warehouse_easy,0,500,12,agent_1,active,-6.715728752538097,5.0,12,0,0,1.5
warehouse_easy,0,500,13,agent_1,active,-7.360679774997898,4.47213595499958,13,0,0,1.608185106778921
warehouse_easy,0,500,14,agent_1,active,-3.450708525844,3.1622776601683795,14,0,0,1.4436506316151043
warehouse_easy,0,500,15,agent_1,active,-5.368951586657051,2.23606797749979,15,0,0,1.1666666666666714
warehouse_easy,0,500,16,agent_1,active,-3.819660112501051,1.0,16,0,0,2.1666666666666714
warehouse_easy,0,500,17,agent_1,active,45.0,0.0,17,0,0,2.1666666666666714
warehouse_easy,0,500,18,agent_1,active,-10.0,70.22819946431775,18,0,0,2.1666666666666714
warehouse_easy,0,500,19,agent_1,active,-3.6052861971752037,68.9492567037528,19,0,0,1.1666666666666714
warehouse_easy,0,500,20,agent_1,active,-8.364485767191283,68.62215385719105,20,0,0,1.1666666666666714
warehouse_easy,0,500,21,agent_1,active,-8.42985787280604,68.30812543175226,21,0,0,1.4436506316151043
warehouse_easy,0,500,22,agent_1,active,-3.7204651260429245,67.05221845696084,22,0,0,1.608185106778921
warehouse_easy,0,500,23,agent_1,active,-5.230965108410572,66.09841147864296,23,0,0,1.5
warehouse_easy,0,500,24,agent_1,active,-5.237892104831801,65.14598989960932,24,0,0,1.5
warehouse_easy,0,500,25,agent_1,active,-5.245127416034094,64.19501538281614,25,0,0,1.5275875100994059
warehouse_easy,0,500,26,agent_1,active,-5.2526891027572375,63.245553203367585,26,0,0,1.9037008503093236
warehouse_easy,0,500,27,agent_1,active,-5.260596526612495,62.297672508690084,27,0,0,2.573181485764292
warehouse_easy,0,500,28,agent_1,active,-5.268870460108914,61.35144660071187,28,0,0,3.387301263230196
warehouse_easy,0,500,29,agent_1,active,-5.277533207219776,60.40695324215582,29,0,0,3.105551275464001
warehouse_easy,0,500,30,agent_1,active,-5.28660873559101,59.464274989274024,30,0,0,2.3284271247462
warehouse_easy,0,500,31,agent_1,active,-5.296122821620521,58.52349955359813,31,0,0,1.736067977499796
warehouse_easy,0,500,32,agent_1,active,-5.306103209768729,57.584720195551874,32,0,0,1.5
warehouse_easy,0,500,33,agent_1,active,-5.316579787611566,56.64803615307419,33,0,0,1.5
