experiment,worker,episode,return,average_return,best_return,mean_time_travel,average_mean_time_travel,best_mean_time_travel,success_rate,average_success_rate,best_success_rate
random_easy,0,84,-996.7185390966655,-853.5676103689362,-337.99357045227293,100.0,78.67857142857143,7.0,0.0,0.011904761904761904,0.125
random_easy,0,85,241.5771176595175,-840.6835547450721,-337.99357045227293,100.0,78.92941176470588,7.0,0.0,0.011764705882352941,0.125
random_easy,0,86,-1232.8325050854978,-845.2434262606583,-337.99357045227293,100.0,79.17441860465117,7.0,0.0,0.011627906976744186,0.125
random_easy,0,87,-1186.161622710657,-849.1620262198537,-337.99357045227293,100.0,79.41379310344827,7.0,0.0,0.011494252873563218,0.125
random_easy,0,88,977.7977327714077,-828.4011198676803,-337.99357045227293,100.0,79.64772727272727,7.0,0.0,0.011363636363636364,0.125
random_easy,0,89,143.20006426105786,-817.4842526302789,-337.99357045227293,100.0,79.87640449438203,7.0,0.0,0.011235955056179775,0.125
random_easy,0,90,-114.2441862379735,-809.6704741148089,-337.99357045227293,100.0,80.1,7.0,0.0,0.011111111111111112,0.125
random_easy,0,91,-50.31937924809709,-801.3259565888011,-337.99357045227293,100.0,80.31868131868131,7.0,0.0,0.01098901098901099,0.125
random_easy,0,92,-9.673732888660794,-792.7210411137996,-337.99357045227293,100.0,80.53260869565217,7.0,0.0,0.010869565217391304,0.125
random_easy,0,93,-120.8447998713674,-785.4965654015155,-337.99357045227293,6.0,79.73118279569893,7.0,0.0,0.010752688172043012,0.125
random_easy,0,94,851.1622914555506,-768.0853009668658,-337.99357045227293,100.0,79.94680851063829,7.0,0.0,0.010638297872340425,0.125
random_easy,0,95,243.9130933955454,-757.4326862893668,-337.99357045227293,60.0,79.73684210526316,7.0,1.0,0.021052631578947368,0.125
random_easy,0,96,-1938.3440946987723,-769.7338467936312,-337.99357045227293,100.0,79.94791666666667,7.0,0.0,0.020833333333333332,0.125
random_easy,0,97,2360.679476945705,-737.4615444870401,-337.99357045227293,100.0,80.15463917525773,7.0,0.0,0.020618556701030927,0.125
random_easy,0,98,1526.855274623279,-714.3562708226492,-337.99357045227293,100.0,80.35714285714286,7.0,0.0,0.02040816326530612,0.125
random_easy,0,99,2666.571135553434,-680.2054889400625,-337.99357045227293,100.0,80.55555555555556,7.0,0.0,0.020202020202020204,0.125
random_easy,0,100,290.83650618852045,-670.4950689887767,-337.99357045227293,100.0,80.75,7.0,0.0,0.02,0.125
random_easy,0,101,1048.2480104848808,-656.632653179405,-337.99357045227293,100.0,81.68,7.0,0.0,0.02,0.125
random_easy,0,102,441.6695241759831,-646.9443547034749,-337.99357045227293,100.0,82.59,7.0,0.0,0.02,0.125
random_easy,0,103,844.7401285134504,-575.185442340392,-337.99357045227293,100.0,82.59,7.0,0.0,0.02,0.125
random_easy,0,104,-25.059139125273223,-568.3736534249224,-337.99357045227293,100.0,83.44,7.0,0.0,0.02,0.125
random_easy,0,105,-185.56402259967066,-570.0095133466904,-337.99357045227293,100.0,84.32,7.0,0.0,0.02,0.125
random_easy,0,106,-4161.8057600667225,-585.1631146446132,-337.99357045227293,100.0,85.06,7.0,0.0,0.02,0.125
random_easy,0,107,-4891.036760738478,-630.2224668365159,-337.99357045227293,100.0,85.95,7.0,0.0,0.02,0.125
random_easy,0,108,627.552066908915,-654.5616338061773,-337.99357045227293,100.0,86.68,7.0,0.0,0.01,0.125
random_easy,0,109,-2971.4518246832968,-683.22240651516,-337.99357045227293,100.0,87.62,7.0,0.0,0.01,0.125
random_easy,0,110,390.2305044554287,-693.9915014458559,-337.99357045227293,100.0,88.2,7.0,0.0,0.01,0.125
random_easy,0,111,-540.0598150252238,-702.9289424480439,-337.99357045227293,100.0,88.84,7.0,0.0,0.01,0.125
random_easy,0,112,176.91195984320177,-679.7900301807435,-337.99357045227293,100.0,89.55,7.0,0.0,0.01,0.125
random_easy,0,113,-819.431407922961,-680.6616214944002,-337.99357045227293,100.0,90.34,7.0,0.0,0.01,0.125
random_easy,0,114,-2871.225406511868,-706.4044597455702,-337.99357045227293,100.0,91.06,7.0,0.0,0.01,0.125
random_easy,0,115,-1448.0278162715053,-700.1577342281158,-337.99357045227293,100.0,91.44,7.0,0.0,0.01,0.125
random_easy,0,116,-5633.8136024042815,-755.1283766196466,-337.99357045227293,100.0,92.39,7.0,0.0,0.01,0.125
random_easy,0,117,1020.1856609317381,-750.1592080858904,-337.99357045227293,100.0,93.28,7.0,0.0,0.01,0.125
random_easy,0,118,-81.68714120981123,-611.6112298732908,-337.99357045227293,6.0,92.34,7.0,0.0,0.01,0.125
random_easy,0,119,77.60371929753754,-554.144714559944,-337.99357045227293,100.0,92.71,7.0,0.0,0.01,0.125
random_easy,0,120,400.1522872497501,-573.2781869168905,-337.99357045227293,100.0,93.53,7.0,0.0,0.01,0.125
random_easy,0,121,-34.46989927605222,-558.3155741041894,-337.99357045227293,15.0,93.33,7.0,0.0,0.01,0.125
random_easy,0,122,-1246.8546726316147,-480.9385215494605,-337.99357045227293,100.0,93.75,7.0,0.0,0.01,0.125
random_easy,0,123,407.1390077945414,-380.5913442921028,-337.99357045227293,100.0,94.26,7.0,0.0,0.01,0.125
random_easy,0,124,-3740.1622770572585,-400.23438558700195,-337.99357045227293,100.0,95.1,7.0,0.0,0.01,0.125
random_easy,0,125,540.847162012808,-180.43336230751055,-180.43336230751055,100.0,95.1,7.0,0.0,0.01,0.125
random_easy,0,126,5205.133431389961,-121.65185665944013,-121.65185665944013,100.0,95.77,7.0,0.0,0.01,0.125
random_easy,0,127,1699.1770232790702,-99.95512203305476,-99.95512203305476,100.0,96.58,7.0,0.0,0.01,0.125
random_easy,0,128,355.1512608126437,-93.8112233624178,-93.8112233624178,100.0,96.87,7.0,0.0,0.01,0.125
random_easy,0,129,-4143.908760971793,-146.48096809811003,-93.8112233624178,100.0,96.87,7.0,0.0,0.01,0.125
random_easy,0,130,-57.72998558553303,-140.64488108087525,-93.8112233624178,100.0,96.87,7.0,0.0,0.01,0.125
random_easy,0,131,-682.0806603584433,-142.22371242263642,-93.8112233624178,100.0,96.87,7.0,0.0,0.01,0.125
random_easy,0,132,-2223.3405444184223,-157.55086606612707,-93.8112233624178,100.0,96.87,7.0,0.0,0.01,0.125
random_easy,0,133,211.80042033231962,-147.4086746579392,-93.8112233624178,100.0,96.87,7.0,0.0,0.01,0.125
random_easy,0,134,-392.2293845827928,-146.57227615031266,-93.8112233624178,100.0,96.87,7.0,0.0,0.01,0.125
random_easy,0,135,775.106465744313,-140.54792966679196,-93.8112233624178,100.0,96.87,7.0,0.0,0.01,0.125
random_easy,0,136,-26.574800686033093,-146.41116566585058,-93.8112233624178,55.0,96.42,7.0,0.0,0.01,0.125
random_easy,0,137,-4043.119722533158,-184.6348726932773,-93.8112233624178,100.0,96.42,7.0,0.0,0.01,0.125
random_easy,0,138,233.71427800151275,-191.20104057020498,-93.8112233624178,100.0,96.42,7.0,0.0,0.01,0.125
random_easy,0,139,131.02026127514,-190.99018143822627,-93.8112233624178,100.0,96.42,7.0,0.0,0.01,0.125
random_easy,0,140,-1891.2381082411348,-205.36800162044744,-93.8112233624178,93.0,96.35,7.0,0.0,0.01,0.125
random_easy,0,141,-1500.7122804768007,-223.39399388260475,-93.8112233624178,100.0,96.35,7.0,0.0,0.01,0.125
random_easy,0,142,-3972.7931670654466,-264.71887576716415,-93.8112233624178,100.0,96.35,7.0,0.0,0.01,0.125
random_easy,0,143,930.0221266792074,-253.86610638345206,-93.8112233624178,100.0,96.35,7.0,0.0,0.01,0.125
random_easy,0,144,-61.199848977272225,-251.10270233983465,-93.8112233624178,100.0,96.35,7.0,0.0,0.01,0.125
random_easy,0,145,-64.45691366273141,-243.20638956316662,-93.8112233624178,6.0,95.41,7.0,0.0,0.01,0.125
random_easy,0,146,1779.271928931341,-231.56941571065116,-93.8112233624178,50.0,94.91,7.0,1.0,0.02,0.125
random_easy,0,147,-2201.4382951223092,-260.3499452140224,-93.8112233624178,100.0,94.91,7.0,0.0,0.02,0.125
random_easy,0,148,792.1952178834971,-252.70331802231368,-93.8112233624178,100.0,94.91,7.0,0.0,0.02,0.125
random_easy,0,149,-1099.6215334279807,-286.43288174930467,-93.8112233624178,100.0,94.91,7.0,0.0,0.02,0.125
random_easy,0,150,-6392.961294223273,-309.6581829323229,-93.8112233624178,100.0,94.91,7.0,0.0,0.02,0.125
random_easy,0,151,-1014.1137765522889,-322.39970527824704,-93.8112233624178,100.0,94.91,7.0,0.0,0.02,0.125
random_easy,0,152,1602.6266708182936,-304.39801677508973,-93.8112233624178,100.0,94.91,7.0,0.0,0.02,0.125
random_easy,0,153,338.7135121243948,-303.0429707069048,-93.8112233624178,100.0,94.91,7.0,0.0,0.02,0.125
random_easy,0,154,-108.176388124938,-279.1364864300469,-93.8112233624178,10.0,94.01,7.0,0.0,0.02,0.125
random_easy,0,155,-4616.588259070927,-297.28749358228305,-93.8112233624178,100.0,94.01,7.0,0.0,0.02,0.125
random_easy,0,156,-1184.279356350387,-327.592614202605,-93.8112233624178,100.0,94.01,7.0,0.0,0.02,0.125
random_easy,0,157,-180.56555750482028,-334.3563100287067,-93.8112233624178,100.0,94.01,7.0,0.0,0.02,0.125
random_easy,0,158,-3245.610852099224,-358.2413115736765,-93.8112233624178,100.0,94.01,7.0,0.0,0.02,0.125
random_easy,0,159,1342.4234769448733,-339.07281599928683,-93.8112233624178,100.0,94.01,7.0,0.0,0.02,0.125
random_easy,0,160,1559.7478198000754,-343.1809653188304,-93.8112233624178,100.0,94.01,7.0,0.0,0.02,0.125
random_easy,0,161,-134.25390084675402,-396.3126123729599,-93.8112233624178,100.0,94.01,7.0,0.0,0.02,0.125
random_easy,0,162,-62.129152385840555,-405.88899095950956,-93.8112233624178,6.0,93.07,7.0,0.0,0.02,0.125
random_easy,0,163,-87.49464167676328,-409.4606113617237,-93.8112233624178,8.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,164,-538.4731240905545,-410.6042600084256,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,165,-30.964918788591042,-392.15029515511765,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,166,77.45213121381099,-470.13544234212003,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,167,5534.54934309676,-401.1580264835097,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,168,-2620.261036060747,-359.41662667467523,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,169,-391.3214995692275,-361.2987090825352,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,170,191.93373882007265,-352.6185952686324,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,171,271.80610560731736,-355.92708328587764,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,172,-1023.9027767810613,-384.5564995567958,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,173,157.18640369159266,-391.59504638533303,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,174,-2026.745737306245,-414.70875148134104,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,175,2717.4030628017003,-397.35785688693215,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,176,-4393.03057373934,-440.87505382958267,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,177,-207.05103007145397,-446.0348457451212,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,178,185.41264413884238,-435.57456534945527,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,179,-17.793064510746618,-445.0194218950582,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,180,361.37126658176527,-441.9058503071703,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
