environment,worker,episode,step,agent,state,reward,goal_distance,travel_time,action_x,action_y,closest_obstacle_distance
random_easy,0,1000,25,agent_1,active,-21.649052090386448,6.309810418077289,25,0.00087308884,0.18397291,2.079032
random_easy,0,1000,26,agent_1,active,-17.787704694728305,5.537540938945661,26,0.004089117,0.31990793,2.9109323
random_easy,0,1000,27,agent_1,active,-15.73035367898176,5.126070735796352,27,0.0017373562,-0.5137214,3.36275
random_easy,0,1000,28,agent_1,active,-15.911573760671695,5.162314752134339,28,0.013674974,-0.5024335,3.329125
random_easy,0,1000,29,agent_1,active,-18.16069589700445,5.61213917940089,29,0.005906582,-0.47917002,2.8385046
random_easy,0,1000,30,agent_1,active,-21.98727818388894,6.377455636777787,30,0.0028512478,-0.45321456,2.0158775
random_easy,0,1000,31,agent_1,active,-24.59678353828835,6.899356707657669,31,0.0426054,0.39417225,1.474694
random_easy,0,1000,32,agent_1,active,-25.888732495789437,7.157746499157887,32,0.0061290264,0.29775047,1.2040198
random_easy,0,1000,33,agent_1,active,-27.064948018942218,7.392989603788443,33,0.010629177,0.027563613,0.9599798
random_easy,0,1000,34,agent_1,active,-26.476104316597514,7.275220863319502,34,0.026780605,0.37941536,1.0924747
random_easy,0,1000,35,agent_1,active,-25.953589063229536,7.170717812645907,35,0.0070972443,-0.020119453,1.2050021
random_easy,0,1000,36,agent_1,active,-23.61100135719143,6.702200271438286,36,0.0145590305,0.41198775,1.7060022
random_easy,0,1000,37,agent_1,active,-20.74330453299217,6.128660906598434,37,0.004207611,0.13884902,2.3219614
random_easy,0,1000,38,agent_1,active,-16.880540928368777,5.356108185673755,38,0.0021276474,0.34218735,3.1665468
random_easy,0,1000,39,agent_1,active,-14.792909340435509,4.938581868087102,39,0.051736116,-0.49216524,3.6578846
random_easy,0,1000,40,agent_1,active,-14.346349198021786,4.849269839604357,40,0.012286425,-0.40475294,3.766542
random_easy,0,1000,41,agent_1,active,-15.702414038502456,5.120482807700491,41,0.0038380623,-0.42010534,3.460309
random_easy,0,1000,42,agent_1,active,-18.734926579549843,5.726985315909968,42,0.0040757656,-0.4272027,2.7871768
random_easy,0,1000,43,agent_1,active,-22.687257556460434,6.517451511292086,43,0.006587267,-0.2899378,1.9307163
random_easy,0,1000,44,agent_1,active,-25.57747096914044,7.095494193828087,44,0.064356804,0.3869207,1.332356
random_easy,0,1000,45,agent_1,active,-27.30186930766099,7.440373861532198,45,0.03554511,0.27925044,0.97802114
random_easy,0,1000,46,agent_1,active,-28.21737253437579,7.623474506875158,46,0.042444706,0.18187134,0.79866564
random_easy,0,1000,47,agent_1,active,-29.37345522851863,7.854691045703726,47,0.027487755,-0.05720435,0.5633575
random_easy,0,1000,48,agent_1,active,-29.495995418253635,7.879199083650727,48,0.011780739,0.21565422,0.5414778
random_easy,0,1000,49,agent_1,active,-30.066153969189426,7.993230793837885,49,0.016093016,-0.09336035,0.42649102
random_easy,0,1000,50,agent_1,active,-28.797805913589553,7.73956118271791,50,0.082966805,0.416204,0.72293043
random_easy,0,1000,51,agent_1,active,-28.66057224792455,7.712114449584909,51,0.0031855106,-0.27060068,0.7532873
random_easy,0,1000,52,agent_1,active,-26.462130966924917,7.272426193384983,52,0.004919529,0.46063724,1.2247944
random_easy,0,1000,53,agent_1,active,-24.967454178976944,6.973490835795388,53,0.0012705326,-0.16271454,1.5472138
random_easy,0,1000,54,agent_1,active,-23.485375805219828,6.677075161043965,54,0.012225628,0.004349534,1.8737473
random_easy,0,1000,55,agent_1,active,-23.378459857522483,6.655691971504496,55,0.00021457672,-0.3092258,1.8971531
