task,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state,block
task7_fixed_random_1,80,767,agent_1,27.182794914682013,18.725127267774223,15.174793506095861,0.9555319008071492,3.4943761635394193,1.186820330015967,-0.9275038700423411,3.0863165841633804,37.276531507635276,-0.8975652372730633,0.0,0.0,active,0
task7_fixed_random_1,80,768,agent_1,29.57640276100172,14.458927139084873,14.533187821344509,1.6050466894636446,0.8917128157846552,4.891811735951446,-0.32148843970971164,-1.2247901506207781,37.874861886767206,-1.0009200541400483,-1.7197657128857247,0.0,active,0
task7_fixed_random_1,80,769,agent_1,30.446073028356714,14.21100430578944,13.934191127959197,0.8708706897179446,0.7901232568882621,0.9043185861136238,0.7817887981091454,-3.886514107064528,36.835586014597965,-1.6121137789889903,-3.9558102229320715,0.0,active,0
task7_fixed_random_1,80,770,agent_1,31.079403685808547,14.354133309072823,13.331117781827661,0.3885545694582084,0.6458666909271766,0.6493024204862213,0.49997066009980545,-4.816392114539756,35.69838032892399,-1.8620844399496255,-7.385025990837217,0.0,active,0
task7_fixed_random_1,80,771,agent_1,33.96247956705847,16.74551588417231,9.602673483641837,-0.11344223439500924,0.02360805888326789,3.745775908611526,0.4701847760728299,-346.82765239535354,38.925134990554426,-2.0831581636002827,-157.21835932417054,-200.0,truncated,0
task7_fixed_random_1,100,989,agent_1,11.902181884493295,12.484164060598268,44.32522182539725,0.8220747462225512,3.480442861622553,3.1540016480147663,-0.9234131735154869,14.477004762658174,15.329696651680116,-0.8526918890219427,0.0,0.0,active,0
task7_fixed_random_1,100,990,agent_1,13.294181636053958,10.885985436217215,42.80322223936428,0.7867655496089658,1.9698839110023565,2.1193957213728307,0.06917194298198985,0.14508594271611408,15.699454526262217,-0.8574766467178464,-0.21988717417008355,0.0,active,0
task7_fixed_random_1,100,991,agent_1,14.396047596948925,9.883131325986614,41.64654894641633,0.6931576489244232,1.0092417864863992,1.4899077025726803,0.11585117543144222,-1.566772760556398,15.45209090023924,-0.8708981415666932,-1.5258748138546572,0.0,active,0
task7_fixed_random_1,100,992,agent_1,17.16340171874841,6.011436771154386,38.88747548728807,1.0013877979888977,0.9975047939693593,4.759019600858786,-0.21183908877669066,1.2769584377703578,18.114772199711012,-0.9157739411004319,-2.8667218760223347,0.0,active,0
task7_fixed_random_1,100,993,agent_1,18.669163435373832,6.148884247518007,37.37670381593215,-0.041482570900671825,1.647468358461646,1.512021876830314,1.0412579064250855,-1.3546297452053941,18.230352621799057,-1.999991968793184,-3.2527140156230208,0.0,active,0
task7_fixed_random_1,100,994,agent_1,19.64515623521604,7.042291439242636,36.3674562053658,-0.71491200421779,2.184464310675943,1.3231546982757214,0.6502205055051888,-1.031951781747112,17.768862111675702,-2.422778674572607,-3.4003885814673533,0.0,active,0
task7_fixed_random_1,100,995,agent_1,19.745572184531415,7.690053778536803,36.255752686811256,-1.4084517619540575,2.245572184531415,0.6554993600948517,0.6757514819648168,-2.213536057491971,16.142765374268183,-2.8794187399502533,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,996,agent_1,21.679032153757575,8.619763052684064,34.32656318573531,-0.4662685911650321,4.18056461174135,2.1453733444404137,-0.968788051192732,10.998143906126746,28.07945956852874,-3.817969028084065,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,997,agent_1,22.198959974090325,9.149911227781155,33.820594357061864,-0.8291377029347988,4.73942453101381,0.7425510257987256,0.3469181240196653,1.8945940101913552,30.09440576349342,-3.938321212857389,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,998,agent_1,24.597793951584215,11.196558635145713,31.56448212493095,-0.8077844433450262,5.26055753192708,3.1532792552597084,-0.08879103023401018,15.579235824123966,45.68152543466741,-3.9462050599074057,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,999,agent_1,25.505903855895273,11.697755160010674,30.717475366137894,-0.6249819597800582,5.420264656040167,1.0372374630934562,-0.20203001368877813,4.26869259372111,49.9910341548196,-3.9870211863384935,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,1000,agent_1,25.65357547364183,15.693749667838661,31.306537104657874,-1.7821571118895403,3.6636417052374117,3.998722172554543,1.0295484466963762,1.9921656484142631,53.04316980732879,-5.046991190433415,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,1001,agent_1,26.315996307216988,19.007026002489123,31.659038151097185,-1.7285580531685536,3.7598295661271477,3.3788461685180664,-0.16038942337036133,2.9694626331329346,56.03835708989104,-5.072715957209381,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,1002,agent_1,26.426770575323033,22.535013374545493,32.9521245506689,-1.9962262068916485,4.173930525589496,3.529726028442383,0.1659391224384308,-1.4335159063339233,54.632376979722586,-5.100251749649557,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,1003,agent_1,26.59992850569953,22.915821574773066,32.96734652835203,-1.6135331564059212,3.7003496508459035,0.41832828521728516,-0.3953768312931061,-1.3957761526107788,53.39292366398772,-5.256574586525472,-3.5311878361741607,0.0,active,0
task7_fixed_random_1,100,1004,agent_1,29.002809305292505,25.279409697613765,32.05349130600892,-1.3464997139089556,1.6438866919127482,3.3705170154571533,-0.3668763041496277,-0.26093915902168074,53.65498573674163,-5.391172811880621,-3.9195908425945993,0.0,active,0
task7_fixed_random_1,100,1005,agent_1,28.262442692075314,28.75461476920224,34.6428364835848,-2.4230806678516714,2.2453852307977584,3.553194761276245,1.0035459995269775,-4.306020762899407,50.48691828144988,-6.3982773279099785,-4.0504396341729,0.0,active,0
task7_fixed_random_1,100,1006,agent_1,28.176524077024578,29.367403914549964,35.08150171363703,-2.36499608975877,1.6325960854500359,0.6187831163406372,-0.07060344517230988,-2.5922439287505727,48.295766185655204,-6.403262174248608,-4.446546620790166,0.0,active,0
task7_fixed_random_1,100,1007,agent_1,27.23085176917907,33.1426309873002,38.20753568198943,-2.534471747214635,0.14263098730020118,3.8918678760528564,0.10614267736673355,-277.14715760975906,44.7264793623825,-6.414528442107054,-78.01314780155795,-200.0,truncated,0
task7_fixed_random_1,120,1129,agent_1,4.126766204833984,4.088981628417969,53.87330727993979,-0.6136748790740967,3.0889816284179688,0.15487885475158691,0.6120231747627258,-1.4313510656356812,-1.0567786693572998,-0.37457236647605896,0.0,0.0,active,0
task7_fixed_random_1,120,1130,agent_1,4.8388895988464355,3.852313995361328,53.16131554278547,0.3236352503299713,2.852313995361328,0.7504206895828247,-0.9328803420066833,-1.8758116960525513,-2.044618606567383,-1.2448381185531616,-0.0177060104906559,0.0,active,0
task7_fixed_random_1,120,1131,agent_1,6.935946464538574,0.8650343418121338,51.160195202427516,1.0200481414794922,0.0,3.6498613357543945,-0.6378750801086426,-348.7791442871094,-0.5835535526275635,-1.6517226696014404,-149.8510284423828,-200.0,truncated,0
task7_fixed_random_1,140,1345,agent_1,9.817218780517578,13.132789611816406,45.27366358201776,1.0692718029022217,4.444980559693139,3.394580364227295,-1.0058987140655518,12.409010887145996,13.420843124389648,-1.0118322372436523,0.0,0.0,active,0
task7_fixed_random_1,140,1346,agent_1,10.893091201782227,12.693985939025879,44.230635680551316,0.46207714080810547,3.150822378274717,1.1619160175323486,0.6186362504959106,5.1562604904174805,18.959814071655273,-1.3945430517196655,0.0,0.0,active,0
task7_fixed_random_1,140,1347,agent_1,13.237171173095703,8.581338882446289,42.41662886654728,1.2285555601119995,1.7642903327941895,4.733770370483398,-0.6654890775680542,0.9494123458862305,20.667329788208008,-1.837418794631958,-0.3152269124984741,0.0,active,0
task7_fixed_random_1,140,1348,agent_1,14.716947555541992,7.757572650909424,41.117659501095034,0.7097865343093872,0.2830524444580078,1.6936143636703491,0.5447919964790344,-218.87594604492188,20.64374542236328,-2.1342170238494873,-18.870784759521484,-200.0,truncated,0
task7_fixed_random_1,160,1613,agent_1,6.828319072723389,8.640027046203613,40.438766048340554,0.5803770422935486,5.828319072723389,3.68359375,-0.6953724026679993,20.520023345947266,21.00356674194336,-0.4835427701473236,0.0,0.0,active,0
task7_fixed_random_1,160,1614,agent_1,10.335733413696289,6.347633361816406,36.739349840641715,0.5149480700492859,4.791275501251221,4.190110683441162,0.11648104339838028,24.863737106323242,45.8808708190918,-0.49711060523986816,0.0,0.0,active,0
task7_fixed_random_1,160,1615,agent_1,10.944889068603516,5.989676475524902,36.10996866174995,0.4761442542076111,4.298969745635986,0.7065436840057373,0.047618716955184937,2.557725667953491,48.44086456298828,-0.49937814474105835,0.0,0.0,active,0
